"0" , "18,9036"
"4067,76" , "0,294287"
"8135,53" , "0,146556"
"12203,3" , "0,0970639"
"16271,1" , "0,0721105"
"20338,8" , "0,0569575"
"24406,6" , "0,0466891"
"28474,3" , "0,0391956"
"32542,1" , "0,0334201"
"36609,9" , "0,0287751"
"40677,6" , "0,0249101"
"44745,4" , "0,0216095"
"48813,2" , "0,0187478"
"52880,9" , "0,0162781"
"56948,7" , "0,0142484"
"61016,5" , "0,0128484"
"65084,2" , "3,00755"
"69152" , "0,0135191"
"73219,8" , "0,0164069"
"77287,5" , "0,021349"
"81355,3" , "0,0287836"
"85423" , "0,0397319"
"89490,8" , "0,056408"
"93558,6" , "0,0838758"
"97626,3" , "0,135999"
"101694" , "0,267884"
"105762" , "1,16016"
"109830" , "0,714723"
"113897" , "0,317761"
"117965" , "0,224786"
"122033" , "0,18693"
"126101" , "0,17009"
"130168" , "0,16518"
"134236" , "0,17009"
"138304" , "0,18693"
"142372" , "0,224786"
"146440" , "0,317761"
"150507" , "0,714723"
"154575" , "1,16016"
"158643" , "0,267884"
"162711" , "0,135999"
"166778" , "0,0838758"
"170846" , "0,056408"
"174914" , "0,0397319"
"178982" , "0,0287836"
"183049" , "0,021349"
"187117" , "0,0164069"
"191185" , "0,0135191"
"195253" , "3,00755"
"199320" , "0,0128484"
"203388" , "0,0142484"
"207456" , "0,0162781"
"211524" , "0,0187478"
"215592" , "0,0216095"
"219659" , "0,0249101"
"223727" , "0,0287751"
"227795" , "0,0334201"
"231863" , "0,0391956"
"235930" , "0,0466891"
"239998" , "0,0569575"
"244066" , "0,0721105"
"248134" , "0,0970639"
"252201" , "0,146556"
"256269" , "0,294287"